Date : 2020-10-23 09:25:09
Directory : d:\Develop\AutoChess-Simulator
Total : 283 files,  21029 codes, 333 comments, 446 blanks, all 21808 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |         76 |     13,262 |          0 |         59 |     13,321 |
| JavaScript |        103 |      6,167 |        242 |        188 |      6,597 |
| Vue        |          6 |        978 |         33 |         21 |      1,032 |
| TypeScript |         80 |        303 |         54 |         80 |        437 |
| XML        |         13 |        251 |          3 |         79 |        333 |
| CSS        |          1 |         45 |          0 |         13 |         58 |
| HTML       |          1 |         10 |          1 |          1 |         12 |
| Properties |          1 |          8 |          0 |          2 |         10 |
| Markdown   |          1 |          3 |          0 |          2 |          5 |
| Ignore     |          1 |          2 |          0 |          1 |          3 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                      | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                         |        283 |     21,029 |        333 |        446 |     21,808 |
| build                                                                     |          9 |        497 |        158 |         62 |        717 |
| config                                                                    |          3 |         60 |         15 |          5 |         80 |
| src                                                                       |         18 |      1,231 |         39 |         63 |      1,333 |
| src\components                                                            |          2 |        158 |          0 |          5 |        163 |
| src\pages                                                                 |          9 |        812 |         22 |         27 |        861 |
| src\pages\battle                                                          |          3 |        197 |          0 |          6 |        203 |
| src\pages\counter                                                         |          3 |         63 |          3 |         10 |         76 |
| src\pages\index                                                           |          3 |        552 |         19 |         11 |        582 |
| src\utils                                                                 |          3 |        110 |          3 |         19 |        132 |
| static                                                                    |        242 |      8,289 |        112 |        304 |      8,705 |
| static\datas                                                              |          5 |      2,006 |          0 |          1 |      2,007 |
| static\iconfont                                                           |          2 |         74 |          3 |         38 |        115 |
| static\vant                                                               |        235 |      6,209 |        109 |        265 |      6,583 |
| static\vant\action-sheet                                                  |          3 |         71 |          0 |          3 |         74 |
| static\vant\area                                                          |          3 |        212 |          5 |          3 |        220 |
| static\vant\button                                                        |          3 |         74 |          2 |          3 |         79 |
| static\vant\card                                                          |          3 |         45 |          0 |          3 |         48 |
| static\vant\cell                                                          |          3 |         44 |          0 |          2 |         46 |
| static\vant\cell-group                                                    |          3 |         14 |          0 |          2 |         16 |
| static\vant\checkbox                                                      |          3 |         85 |          0 |          3 |         88 |
| static\vant\checkbox-group                                                |          3 |         43 |          0 |          3 |         46 |
| static\vant\circle                                                        |          3 |        153 |          2 |          3 |        158 |
| static\vant\col                                                           |          3 |         27 |          0 |          3 |         30 |
| static\vant\collapse                                                      |          3 |         54 |          0 |          3 |         57 |
| static\vant\collapse-item                                                 |          3 |        103 |          0 |          3 |        106 |
| static\vant\common                                                        |          6 |         98 |          5 |          6 |        109 |
| static\vant\count-down                                                    |          5 |        168 |          3 |          5 |        176 |
| static\vant\datetime-picker                                               |          3 |        301 |          3 |          3 |        307 |
| static\vant\definitions                                                   |          4 |         83 |         50 |          4 |        137 |
| static\vant\dialog                                                        |          5 |        226 |          2 |          5 |        233 |
| static\vant\divider                                                       |          3 |         38 |          0 |          2 |         40 |
| static\vant\dropdown-item                                                 |          3 |        113 |          0 |          3 |        116 |
| static\vant\dropdown-menu                                                 |          4 |        139 |          0 |          5 |        144 |
| static\vant\field                                                         |          3 |        119 |          0 |          2 |        121 |
| static\vant\goods-action                                                  |          3 |         26 |          0 |          3 |         29 |
| static\vant\goods-action-button                                           |          3 |         55 |          0 |          3 |         58 |
| static\vant\goods-action-icon                                             |          3 |         30 |          0 |          3 |         33 |
| static\vant\grid                                                          |          3 |         66 |          0 |          3 |         69 |
| static\vant\grid-item                                                     |          3 |         75 |          0 |          3 |         78 |
| static\vant\icon                                                          |          3 |         34 |          0 |          3 |         37 |
| static\vant\image                                                         |          3 |        106 |          0 |          3 |        109 |
| static\vant\index-anchor                                                  |          3 |         26 |          0 |          3 |         29 |
| static\vant\index-bar                                                     |          3 |        251 |          0 |          3 |        254 |
| static\vant\info                                                          |          3 |         12 |          0 |          3 |         15 |
| static\vant\loading                                                       |          3 |         17 |          0 |          2 |         19 |
| static\vant\mixins                                                        |         12 |        245 |          2 |         12 |        259 |
| static\vant\nav-bar                                                       |          3 |         45 |          0 |          3 |         48 |
| static\vant\notice-bar                                                    |          3 |        135 |          0 |          2 |        137 |
| static\vant\notify                                                        |          5 |        125 |          0 |          5 |        130 |
| static\vant\overlay                                                       |          3 |         28 |          1 |          3 |         32 |
| static\vant\panel                                                         |          3 |         17 |          0 |          3 |         20 |
| static\vant\picker                                                        |          5 |        174 |         11 |          5 |        190 |
| static\vant\picker-column                                                 |          4 |        128 |          0 |          4 |        132 |
| static\vant\popup                                                         |          3 |         88 |          0 |          3 |         91 |
| static\vant\progress                                                      |          4 |         36 |          0 |          4 |         40 |
| static\vant\radio                                                         |          3 |         59 |          0 |          3 |         62 |
| static\vant\radio-group                                                   |          3 |         42 |          0 |          3 |         45 |
| static\vant\rate                                                          |          3 |         83 |          0 |          3 |         86 |
| static\vant\row                                                           |          3 |         40 |          0 |          3 |         43 |
| static\vant\search                                                        |          3 |         76 |          4 |          3 |         83 |
| static\vant\sidebar                                                       |          3 |         47 |          0 |          3 |         50 |
| static\vant\sidebar-item                                                  |          3 |         43 |          0 |          3 |         46 |
| static\vant\skeleton                                                      |          3 |         47 |          0 |          2 |         49 |
| static\vant\slider                                                        |          3 |        109 |          0 |          3 |        112 |
| static\vant\stepper                                                       |          3 |        186 |          4 |          2 |        192 |
| static\vant\steps                                                         |          3 |         34 |          0 |          3 |         37 |
| static\vant\sticky                                                        |          4 |        143 |          0 |          8 |        151 |
| static\vant\submit-bar                                                    |          3 |         65 |          0 |          3 |         68 |
| static\vant\swipe-cell                                                    |          3 |        136 |          0 |          3 |        139 |
| static\vant\switch                                                        |          3 |         58 |          0 |          3 |         61 |
| static\vant\tab                                                           |          3 |         68 |          0 |          2 |         70 |
| static\vant\tabbar                                                        |          3 |         69 |          0 |          3 |         72 |
| static\vant\tabbar-item                                                   |          3 |         55 |          0 |          3 |         58 |
| static\vant\tabs                                                          |          4 |        335 |          3 |         15 |        353 |
| static\vant\tag                                                           |          3 |         28 |          0 |          3 |         31 |
| static\vant\toast                                                         |          5 |        129 |          2 |          5 |        136 |
| static\vant\transition                                                    |          3 |         17 |          0 |          2 |         19 |
| static\vant\tree-select                                                   |          4 |         77 |          5 |          7 |         89 |
| static\vant\uploader                                                      |          5 |        221 |          5 |          5 |        231 |
| static\vant\wxs                                                           |          6 |        113 |          0 |         27 |        140 |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                  | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| d:\Develop\AutoChess-Simulator\.editorconfig                              | Properties |          8 |          0 |          2 |         10 |
| d:\Develop\AutoChess-Simulator\.eslintignore                              | Ignore     |          2 |          0 |          1 |          3 |
| d:\Develop\AutoChess-Simulator\.eslintrc.js                               | JavaScript |         34 |          7 |          2 |         43 |
| d:\Develop\AutoChess-Simulator\.postcssrc.js                              | JavaScript |          5 |          1 |          2 |          8 |
| d:\Develop\AutoChess-Simulator\README.md                                  | Markdown   |          3 |          0 |          2 |          5 |
| d:\Develop\AutoChess-Simulator\build\build.js                             | JavaScript |         39 |          0 |          7 |         46 |
| d:\Develop\AutoChess-Simulator\build\check-versions.js                    | JavaScript |         44 |          0 |          5 |         49 |
| d:\Develop\AutoChess-Simulator\build\dev-client.js                        | JavaScript |          7 |          1 |          2 |         10 |
| d:\Develop\AutoChess-Simulator\build\dev-server.js                        | JavaScript |         57 |         39 |         16 |        112 |
| d:\Develop\AutoChess-Simulator\build\utils.js                             | JavaScript |         99 |          5 |         14 |        118 |
| d:\Develop\AutoChess-Simulator\build\vue-loader.conf.js                   | JavaScript |         18 |          2 |          2 |         22 |
| d:\Develop\AutoChess-Simulator\build\webpack.base.conf.js                 | JavaScript |        109 |         40 |          4 |        153 |
| d:\Develop\AutoChess-Simulator\build\webpack.dev.conf.js                  | JavaScript |         56 |         25 |          5 |         86 |
| d:\Develop\AutoChess-Simulator\build\webpack.prod.conf.js                 | JavaScript |         68 |         46 |          7 |        121 |
| d:\Develop\AutoChess-Simulator\config\dev.env.js                          | JavaScript |          5 |          0 |          2 |          7 |
| d:\Develop\AutoChess-Simulator\config\index.js                            | JavaScript |         52 |         15 |          2 |         69 |
| d:\Develop\AutoChess-Simulator\config\prod.env.js                         | JavaScript |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\index.html                                 | HTML       |         10 |          1 |          1 |         12 |
| d:\Develop\AutoChess-Simulator\package-lock.json                          | JSON       |     10,712 |          0 |          1 |     10,713 |
| d:\Develop\AutoChess-Simulator\package.json                               | JSON       |         96 |          0 |          1 |         97 |
| d:\Develop\AutoChess-Simulator\package.swan.json                          | JSON       |         12 |          0 |          0 |         12 |
| d:\Develop\AutoChess-Simulator\project.config.json                        | JSON       |         58 |          0 |          0 |         58 |
| d:\Develop\AutoChess-Simulator\project.swan.json                          | JSON       |         12 |          0 |          0 |         12 |
| d:\Develop\AutoChess-Simulator\src\App.vue                                | Vue        |         50 |         14 |          2 |         66 |
| d:\Develop\AutoChess-Simulator\src\app.json                               | JSON       |         42 |          0 |          3 |         45 |
| d:\Develop\AutoChess-Simulator\src\components\ChessTabs.vue               | Vue        |         63 |          0 |          3 |         66 |
| d:\Develop\AutoChess-Simulator\src\components\Guide.vue                   | Vue        |         95 |          0 |          2 |         97 |
| d:\Develop\AutoChess-Simulator\src\main.js                                | JavaScript |          6 |          0 |          3 |          9 |
| d:\Develop\AutoChess-Simulator\src\pages\battle\index.vue                 | Vue        |        190 |          0 |          3 |        193 |
| d:\Develop\AutoChess-Simulator\src\pages\battle\main.js                   | JavaScript |          4 |          0 |          2 |          6 |
| d:\Develop\AutoChess-Simulator\src\pages\battle\main.json                 | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\src\pages\counter\index.vue                | Vue        |         40 |          1 |          4 |         45 |
| d:\Develop\AutoChess-Simulator\src\pages\counter\main.js                  | JavaScript |          4 |          0 |          2 |          6 |
| d:\Develop\AutoChess-Simulator\src\pages\counter\store.js                 | JavaScript |         19 |          2 |          4 |         25 |
| d:\Develop\AutoChess-Simulator\src\pages\index\index.vue                  | Vue        |        540 |         18 |          7 |        565 |
| d:\Develop\AutoChess-Simulator\src\pages\index\main.js                    | JavaScript |          9 |          1 |          3 |         13 |
| d:\Develop\AutoChess-Simulator\src\pages\index\main.json                  | JSON       |          3 |          0 |          1 |          4 |
| d:\Develop\AutoChess-Simulator\src\store.js                               | JavaScript |         53 |          0 |          4 |         57 |
| d:\Develop\AutoChess-Simulator\src\utils\chess-utils.js                   | JavaScript |         54 |          3 |          5 |         62 |
| d:\Develop\AutoChess-Simulator\src\utils\common-utils.js                  | JavaScript |         37 |          0 |          8 |         45 |
| d:\Develop\AutoChess-Simulator\src\utils\index.js                         | JavaScript |         19 |          0 |          6 |         25 |
| d:\Develop\AutoChess-Simulator\static\datas\battles.json                  | JSON       |      1,222 |          0 |          0 |      1,222 |
| d:\Develop\AutoChess-Simulator\static\datas\effect.json                   | JSON       |        185 |          0 |          0 |        185 |
| d:\Develop\AutoChess-Simulator\static\datas\heros.json                    | JSON       |        471 |          0 |          1 |        472 |
| d:\Develop\AutoChess-Simulator\static\datas\main.json                     | JSON       |          6 |          0 |          0 |          6 |
| d:\Develop\AutoChess-Simulator\static\datas\races.json                    | JSON       |        122 |          0 |          0 |        122 |
| d:\Develop\AutoChess-Simulator\static\iconfont\iconfont.css               | CSS        |         45 |          0 |         13 |         58 |
| d:\Develop\AutoChess-Simulator\static\iconfont\iconfont.svg               | XML        |         29 |          3 |         25 |         57 |
| d:\Develop\AutoChess-Simulator\static\vant\action-sheet\index.d.ts        | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\action-sheet\index.js          | JavaScript |         62 |          0 |          1 |         63 |
| d:\Develop\AutoChess-Simulator\static\vant\action-sheet\index.json        | JSON       |          8 |          0 |          1 |          9 |
| d:\Develop\AutoChess-Simulator\static\vant\area\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\area\index.js                  | JavaScript |        205 |          5 |          1 |        211 |
| d:\Develop\AutoChess-Simulator\static\vant\area\index.json                | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\button\index.d.ts              | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\button\index.js                | JavaScript |         66 |          2 |          1 |         69 |
| d:\Develop\AutoChess-Simulator\static\vant\button\index.json              | JSON       |          7 |          0 |          1 |          8 |
| d:\Develop\AutoChess-Simulator\static\vant\card\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\card\index.js                  | JavaScript |         38 |          0 |          1 |         39 |
| d:\Develop\AutoChess-Simulator\static\vant\card\index.json                | JSON       |          6 |          0 |          1 |          7 |
| d:\Develop\AutoChess-Simulator\static\vant\cell-group\index.d.ts          | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\cell-group\index.js            | JavaScript |         10 |          0 |          1 |         11 |
| d:\Develop\AutoChess-Simulator\static\vant\cell-group\index.json          | JSON       |          3 |          0 |          0 |          3 |
| d:\Develop\AutoChess-Simulator\static\vant\cell\index.d.ts                | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\cell\index.js                  | JavaScript |         37 |          0 |          1 |         38 |
| d:\Develop\AutoChess-Simulator\static\vant\cell\index.json                | JSON       |          6 |          0 |          0 |          6 |
| d:\Develop\AutoChess-Simulator\static\vant\checkbox-group\index.d.ts      | TypeScript |          1 |          0 |          1 |          2 |
| d:\Develop\AutoChess-Simulator\static\vant\checkbox-group\index.js        | JavaScript |         39 |          0 |          1 |         40 |
